Portfolio,Year,Month,Gross,Credit,Net,
Portfolio A,2015,2015/01/01,22930.34,22381.71,548.63,
Portfolio A,2015,2015/02/01,32716.6,23963.38,8753.22,
Portfolio A,2015,2015/03/01,22773.53,22814.41,-40.88,
Portfolio A,2015,2015/04/01,39677.96,18163.02,21514.94,
Portfolio B,2015,2015/01/01,3633.54,3109.42,524.12,
Portfolio B,2015,2015/02/01,308.88,1541.08,-1232.2,
Portfolio B,2015,2015/03/01,793.88,534.19,259.69,
Portfolio B,2015,2015/04/01,1118.77,145.95,972.82,
Portfolio B,2014,2014/01/01,7738.51,4412.52,3325.99,
Portfolio B,2014,2014/02/01,3189.82,7262.56,-4072.74,
Portfolio B,2014,2014/03/01,4637.03,752,3885.03,
Portfolio B,2014,2014/04/01,6140.92,4792.29,1348.63,
Portfolio B,2014,2014/05/01,6045.52,3380.06,2665.46,
Portfolio B,2014,2014/06/01,4146.94,5408.9,-1261.96,
Portfolio B,2014,2014/07/01,2332.64,2380.37,-47.73,
Portfolio B,2014,2014/08/01,3787,522.12,3264.88,
Portfolio B,2014,2014/09/01,9304.94,5888.2,3416.74,
Portfolio B,2014,2014/10/01,1927.32,2778.98,-851.66,
Portfolio B,2014,2014/11/01,10061.98,13550.01,-3488.03,
Portfolio B,2014,2014/12/01,4187.28,1417.94,2769.34,
Portfolio C,2015,2015/01/01,183236.73,169875.24,13361.49,
Portfolio C,2015,2015/02/01,192164.93,111021.67,81143.26,
Portfolio C,2015,2015/03/01,216412.89,112737,103675.89,
Portfolio C,2015,2015/04/01,243247.24,146416.54,96830.7,
Portfolio C,2014,2014/01/01,378168.6,267564.99,110603.61,
Portfolio C,2014,2014/02/01,264476.65,248199.31,16277.34,
Portfolio C,2014,2014/03/01,135712.1,152269.11,-16557.01,
Portfolio C,2014,2014/04/01,170025.6,92171.34,77854.26,
Portfolio C,2014,2014/05/01,196577.57,75766.91,120810.66,
Portfolio C,2014,2014/06/01,120715.12,116186.06,4529.06,
Portfolio C,2014,2014/07/01,298874.69,147666.93,151207.76,
Portfolio C,2014,2014/08/01,305424.27,209949.5,95474.77,
Portfolio C,2014,2014/09/01,260693.65,205592.39,55101.26,
Portfolio C,2014,2014/10/01,213805.49,126162.7,87642.79,
Portfolio C,2014,2014/11/01,275946.41,219486.26,56460.15,
Portfolio C,2014,2014/12/01,262254.13,181175.81,81078.32,
Portfolio D,2015,2015/01/01,333274.01,206983.63,126290.38,
Portfolio D,2015,2015/02/01,255506.77,228823.52,26683.25,
Portfolio D,2015,2015/03/01,193680.12,146777.57,46902.55,
Portfolio D,2015,2015/04/01,259759.99,122768.56,136991.43,
Portfolio D,2014,2014/01/01,340112.62,252456.21,87656.41,
Portfolio D,2014,2014/02/01,331762.58,251861.76,79900.82,
Portfolio D,2014,2014/03/01,165775.63,140432.5,25343.13,
Portfolio D,2014,2014/04/01,282231.4,112461.14,169770.26,
Portfolio D,2014,2014/05/01,248172.41,120704.23,127468.18,
Portfolio D,2014,2014/06/01,194950.58,210195.85,-15245.27,
Portfolio D,2014,2014/07/01,378930.4,194703.99,184226.41,
Portfolio D,2014,2014/08/01,174861.87,179151.73,-4289.86,
Portfolio D,2014,2014/09/01,492842.33,247893.42,244948.91,
Portfolio D,2014,2014/10/01,436744.09,310406.62,126337.47,
Portfolio D,2014,2014/11/01,307852.63,284701.91,23150.72,
Portfolio D,2014,2014/12/01,181436.59,161825.17,19611.42,
Portfolio E,2014,2014/01/01,337968.58,118109.74,219858.84,
Portfolio E,2014,2014/02/01,448232.37,112555.18,335677.19,
Portfolio E,2014,2014/03/01,488071.56,161380.16,326691.4,
Portfolio E,2014,2014/04/01,332157.34,189483.32,142674.02,
Portfolio E,2014,2014/05/01,400108.77,230707.77,169401,
Portfolio E,2014,2014/06/01,356444.42,207578.37,148866.05,
